Bedrijfsnaam,Website,Email,Telefoon,Adres,Sector,Land,ERP Score,Logistiek Score,Complexiteit Score,B2B Score,Groei Score,Email Geldig,Email Score,Email Reden,Omschrijving,Gevonden Op
Rexel,https://rexel.be/,,02 482 48 48,,Technische Groothandel,België,93,30,25,18,20,Nee,0,no_email_found,"Rexel Belgium, koploper in elektrische vooruitgang en toonaangevende elektrogroothandel met breed assortiment en technische expertise.",2026-02-25T11:24:14.833Z
Materials Belgium,https://www.thyssenkrupp-materials.be/,35info.mx.be@thyssenkrupp-materials.combtw,0401.921.577-,,Technische Groothandel,België,79,30,25,10,14,Nee,20,dns_lookup_failed,"thyssenkrupp Materials Belgium: partner voor staalverwerkende bedrijven. Levert een assortiment rvs, staal & alu met tal van bewerkingen incl. lasersnijden",2026-02-25T11:24:15.439Z
Borox,https://www.borox.be/,robert.boonstra@borox.be,0896780539,,Technische Groothandel,België,73,30,25,10,8,Ja,85,mx_verified,Wilt u productielijnen naar het Verre Oosten uitbesteden? Borox is uw leverancier van industriële producten uit Azië. Wij ondersteunen u op elk gebied!,2026-02-25T11:24:20.242Z
IPL Group Lommel,https://iplgroup.be/,info@iplgroup.be,0415.905.613,,Technische Groothandel,België,66,30,18,10,8,Ja,70,generic_address,"Nr1 In top merken Voor industrie & particulieren Winkel Openingsuren LET op : Kerstperiode! Controleer openingstijden Gereedschappen, onderdelen &toebehoren Download onze cataloog met bouwassortiment ",2026-02-25T11:24:21.774Z
Partner Safety Care,https://www.partnersafety.be/,sales@partnersafety.be,03-366.27.27,Partner bvHerentalsebaan 1512150 BorsbeekBelgië+32 (0)3 366 27 27info@partnersafety.be,Technische Groothandel,België,74,30,18,18,8,Ja,70,generic_address,"Partner Safety Care is een industriële toeleverancier van persoonlijke beschermingsmiddelen, meer dan 50.000 producten en alle grote merken onder één dak.",2026-02-25T11:24:23.129Z
Metvico,https://www.metvico.be/,info@metvico.be,02 309 36 92,,Technische Groothandel,België,72,30,18,10,14,Ja,70,generic_address,,2026-02-25T11:24:26.816Z
Ons aanbod,https://www.imes.be/ons_aanbod.html,,+32 11 288 288,,Technische Groothandel,België,81,30,25,18,8,Nee,0,no_email_found,kopen bij DEXIS IMES,2026-02-25T11:24:31.572Z
Actoma,https://www.actoma.be/mro-shop-by-actoma/,info@actoma.be,0898602852,,Technische Groothandel,België,54,12,18,10,14,Ja,70,generic_address,,2026-02-25T11:24:32.408Z
Merkandi - B2B-handelsplatform,https://merkandi.be/products/country/BE,,+49 3222109738,,Technische Groothandel,België,88,30,25,25,8,Nee,0,no_email_found,Groothandels België. Lijst met groothandelproducten België. Online database van leveranciers België.,2026-02-25T11:24:34.012Z
Horeca groothandel voor professionelen,https://www.solucious.be/,,009647 100,,Technische Groothandel,België,93,30,18,25,20,Nee,0,no_email_found,"Solucious is de Groothandel van Food en Non-food voor Horeca, Grootkeukens en Bedrijven. Kies uit een ruim foodservice assortiment, zowel Grootverpakking als Kleinverpakking. Bestel eenvoudig online. ",2026-02-25T11:24:34.382Z
Ditzinger - Partner für Industrie und Handwerk,https://ditzinger.de/,,026-02-20 12,,Technische Groothandel,Duitsland,58,30,10,10,8,Nee,0,no_email_found,"Seit 1958 Ihr zuverlässiger Partner für Industriebedarf, Werkzeuge, Arbeitsschutz & Antriebstechnik. Persönlich. Digital. Nachhaltig.",2026-02-25T11:24:38.350Z
BJC Tools,https://www.bjctools.de/,kundenservice@bjctools.de,+43 6562,,Technische Groothandel,Duitsland,57,21,18,18,0,Ja,85,mx_verified,"BJC Tools: Ihr Partner für hochwertige Werkzeuge und Maschinen, mit persönlichem Service und zuverlässiger technischer Unterstützung!",2026-02-25T11:24:38.622Z
ERIKS Deutschland,https://eriks.de/de/,info@eriks.de,,,Technische Groothandel,Duitsland,57,30,25,2,0,Ja,70,generic_address,ERIKS Deutschland – Ihr Partner für zuverlässige und innovative technische Produkte & Dienstleistungen. Jetzt Lösungen für Ihre Industrie entdecken!,2026-02-25T11:24:39.288Z
EGU Elektro Großhandels Union Rhein-Ruhr,https://egu.de/,info@e-g-u.de,+604800,,Technische Groothandel,Duitsland,85,30,10,25,20,Ja,70,generic_address,"Elektrogroßhandel EGU: Schutz- & Schaltgeräte, Kabel & Leitungen, Schaltschrankbau, Beleuchtung, Fachberatung, Normen, Datenblätter, FAQ.",2026-02-25T11:24:39.295Z
VTH Verband Technischer Handel e.V.,https://www.vth-verband.de/vth-im-ueberblick/mitgliederverzeichnis/,info@vth-verband.de,0.91229248,,Technische Groothandel,Duitsland,64,21,18,25,0,Ja,70,generic_address,"Technische Händler aus Deutschland, Österreich und der Schweiz nach Fachgruppen, PLZ und Ausbildungsbetrieb alphabetisch in der VTH-Datenbank.",2026-02-25T11:24:39.600Z
Pierik Technik Hydraulik & Technik,https://www.pieriktechnik.de/,info@pieriktechniek.nl,0031537113861,,Technische Groothandel,Duitsland,58,30,18,10,0,Ja,70,generic_address,Technischer Großhandel ,2026-02-25T11:24:39.665Z
REXEL Germany,https://www.rexel.de/,,091246620,,Technische Groothandel,Duitsland,100,30,25,25,20,Nee,0,no_email_found,,2026-02-25T11:24:40.964Z
Das Branchenportal für Industriebedarf. DACH,https://www.industriebedarf.de/,,,,Technische Groothandel,Duitsland,56,21,10,25,0,Nee,0,no_email_found,"Hersteller, Händler und Dienstleister für Industriebedarf aus der DACH-Region, B2B-Anbeter",2026-02-25T11:24:45.415Z
BDI - Deutschland Liefert,https://www.deutsche-exportdatenbank.de/,,,,Technische Groothandel,Duitsland,81,30,25,18,8,Nee,0,no_email_found,BDI - Deutschland Liefert - exportierende Hersteller und Lieferanten - Made in Germany,2026-02-25T11:24:46.144Z
mro Firmenliste,https://www.firmendatenbanken.de/firmen/n2/s2/mro.html,redaktion@fdb-business.de,,,Technische Groothandel,Duitsland,84,21,18,25,20,Ja,85,mx_verified,"Produzenten, Lieferanten zum Suchbegriff: mro",2026-02-25T11:24:50.664Z
MRO International,https://www.mro-international.de/en-gb/home,info@mro-international.de,+49 170 2419 684,,Technische Groothandel,Duitsland,58,30,18,2,8,Ja,70,generic_address,,2026-02-25T11:24:50.875Z
MRO,https://www.keller-kalmbach.de/service/c-teile-management/mro,8395-0info@keller-kalmbach.comroutenplanerkontakt,,,Technische Groothandel,Duitsland,81,30,25,18,8,Nee,20,dns_lookup_failed,"Wir bieten hochwertige Produkte und dazu passende Logistiklösungen nicht nur für die Produktion, sondern auch für Wartung, Reparatur und Instandhaltung.",2026-02-25T11:24:50.889Z
STARKOS,http://www.starkos.de/,info@starkos.de,+49 89 944 6799-0,,Technische Groothandel,Duitsland,66,30,18,10,8,Ja,70,generic_address,"A STARKOS é uma trading com sede em Munique, especializada na busca e fornecimento, dos mais variados tipos de materiais industriais (MRO) do mundo inteiro.",2026-02-25T11:24:50.901Z
VARS FOODS BV,https://varsfoods.nl/,info@varsfoods.nl,+31 2020 93875,,Voedsel Groothandel,Nederland,81,30,25,18,8,Ja,70,generic_address,"Uw betrouwbare partner voor de distributie van food en non-food Ontdek hoe! Internationale en lokale merken voor alle segmenten Wat Wij Voor U Doen Maatwerkoplossingen voor uw zakelijke behoeften, van",2026-02-25T11:24:58.168Z
difs.nl,https://www.difs.nl/,,,,Voedsel Groothandel,Nederland,50,30,18,2,0,Nee,0,no_email_found,"Nederlandse Internationale levensmiddelen groothandel voor onafhankelijke supermarkten en foodservice. wij leveren direct of via distributeurs of importeurs. Assortiment plm 50.000 artikelen, u kunt o",2026-02-25T11:24:58.464Z
Sligro Horeca Groothandel,https://www.sligro.nl/,,027274959,,Voedsel Groothandel,Nederland,56,12,18,18,8,Nee,0,no_email_found,Sligro is dé horecagroothandel voor foodprofessionals. Sligro heeft een uitgebreid assortiment van bekende A-merken tot exclusieve (eigen) merken.,2026-02-25T11:24:58.607Z
NutriBoost Superfood Groothandel,https://nutriboost.nl/biologische-groothandel/,,+31103400077,,Voedsel Groothandel,Nederland,80,30,25,25,0,Nee,0,no_email_found,Van superfoods tot gedroogd fruit: Biologische groothandel NutriBoost levert bulk bio-ingrediënten snel en traceerbaar. Neem contact op!,2026-02-25T11:25:00.372Z
Two Stars,https://www.two-stars.nl/,,,,Voedsel Groothandel,Nederland,63,21,10,18,14,Nee,0,no_email_found,,2026-02-25T11:25:00.603Z
Online horeca groothandel. Concept,https://www.hemaxsaus.nl/,info@hemaxsaus.nl,,,Voedsel Groothandel,Nederland,85,30,25,10,20,Ja,70,generic_address,héMax is de totaalnaam met Foodservice Nederland als partner in distributie en Private label sauzen als partner in concept-en productontwikkeling.,2026-02-25T11:25:06.587Z
Bunzl Foodservice,https://www.bunzlfoodservice.nl/,info@bunzl.nl,+31 36 547 8666,,Voedsel Groothandel,Nederland,72,30,18,10,14,Ja,70,generic_address,"Bunzl Foodservice levert non-food oplossingen voor horeca, catering, leisure en retail. Ontdek ons complete assortiment.",2026-02-25T11:25:06.628Z
IWF Holland,https://www.iwfholland.nl/,77info@iwfholland.com,025-11-30 09,,Voedsel Groothandel,Nederland,50,30,10,10,0,Ja,85,mx_verified,"IWF Holland is een groothandel en foodtrader. 20 Jaar reisden we door Azië. We bezochten ieder land, van China tot Cambodja. Producten en processen zagen we van dichtbij. Met onze kennis van Aziatisch",2026-02-25T11:25:13.069Z
7 groothandels in levensmiddelen te koop,https://www.brookz.nl/bedrijven-te-koop/groothandel-levensmiddelen,,01 020 303 87,,Voedsel Groothandel,Nederland,100,30,25,25,20,Nee,0,no_email_found,Groothandel-levensmiddelen kopen? | Op dit moment staan er 7 groothandels in levensmiddelen te koop op Brookz | Maak een account aan en kom in contact met de verkopers,2026-02-25T11:25:13.166Z
Good ‘n Food,https://www.goodnfood.be/,info@goodnfood.be,0669744065,,Voedsel Groothandel,België,56,21,10,25,0,Ja,70,generic_address,"Op zoek naar een groothandel voor al je horeca- en fastfoodproducten? Good’n Food garandeert een betrouwbare service, scherpe prijzen en stipte leveringen.",2026-02-25T11:25:25.139Z
Royal Food,https://royalfood.be/,info@royalfood.be,+32 476 571 618,📞 +32 476 571 618 ✉️ info@royalfood.be,Voedsel Groothandel,België,65,30,10,25,0,Ja,70,generic_address,,2026-02-25T11:25:25.167Z
steen foodmasters,https://steenfoodmasters.be/,info@steenfoodmasters.be,0421.060.766,,Voedsel Groothandel,België,66,30,18,10,8,Ja,70,generic_address,Steen Food Masters is een groothandel met een ruim assortiment food en non-food producten. We adviseren en inspireren food professionals.,2026-02-25T11:25:26.358Z
MELEDI Horeca Groothandel,https://www.meledi.be/,,+32 7848 8696,,Voedsel Groothandel,België,94,30,25,25,14,Nee,0,no_email_found,De beste horecaproducten voor de scherpste prijzen bij MELEDI Horeca Groothandel. A-merken voor de Horeca Professional. Tot ziens bij MELEDI.,2026-02-25T11:25:26.998Z
Food & Drink,https://foodanddrink.be/,info@foodanddrink.be,0886 456 769,,Voedsel Groothandel,België,63,12,18,25,8,Ja,70,generic_address,,2026-02-25T11:25:27.355Z
FSA,https://www.foodservicealliance.be/,14.703.302helpdesk@foodservicealliance.be,0000 000 00 0,,Voedsel Groothandel,België,91,21,25,25,20,Ja,85,mx_verified,"Word lid van Foodservice Alliance. Krijg toegang tot marktrapporten, netwerkevents en waardevolle connecties in foodservice België.",2026-02-25T11:25:32.577Z
Spuntini,https://www.spuntini.be/,info@spuntini.be,0383386581,,Voedsel Groothandel,België,87,30,25,18,14,Ja,70,generic_address,"Welkom bij Spuntini, de gespecialiseerde groothandel met een uitgebreid assortiment van food en non-food producten voor horeca, catering en fast-service zaken. ",2026-02-25T11:25:33.577Z
Horeca Van Zon,https://www.vanzon.be/,info-beerse@vanzon.be,011 440 7208,,Voedsel Groothandel,België,73,30,25,10,8,Ja,85,mx_verified,"Horeca-groothandel Van Zon heeft 30.000 artikelen op voorraad voor jouw horecazaak: van vers vlees over fruit, groenten en drank, tot een groot aanbod non-food.",2026-02-25T11:25:35.285Z
FS Food - Horeca Groothandel - Horeca food en non food artikelen,https://fsfood.be/,info@fsfood.be,+32 2 772 27 80,,Voedsel Groothandel,België,62,30,0,18,14,Ja,70,generic_address,"FS Food uw horecaleverancier! Van pizzadozen, olijfolie, Italiaanse kazen, Italiaanse kruiden tot halalproducten, room, sauzen en tomatensaus.",2026-02-25T11:25:38.659Z
mdh foodservice,https://www.mdhfoodservice.be/,orders@mdhfoodservice.be,02 378 32 00,,Voedsel Groothandel,België,68,30,0,18,20,Ja,85,mx_verified,"Verse producten, diepvries, wijnen & meer voor horeca. Online bestellen of foodmarket Brussel. Kwaliteit & service sinds 1983.",2026-02-25T11:25:44.757Z
Groothandel voor Particulieren,https://www.vehgroshop.be/groothandel-particulieren,,0260212080,,Voedsel Groothandel,België,87,30,25,18,14,Nee,0,no_email_found,Bestel biologische producten zonder KvK bij Vehgroshop. Profiteer van groothandelstarieven zonder minimum afname. Snelle levering en hoge kwaliteit!,2026-02-25T11:25:46.198Z
Marma,https://marma.be/,info@marma.be,016 63 27 36,"Fred Chaffartlaan 11, 3300 Tienen",Voedsel Groothandel,België,85,30,25,10,20,Ja,70,generic_address,Jouw partner in natuurlijke en bio producten. Groothandel met een plus!,2026-02-25T11:25:46.198Z
Merkandi - B2B Handelsplattform,https://merkandi.de/,info@merkandi.de,+49 3222109738,,Voedsel Groothandel,Duitsland,88,30,25,25,8,Ja,70,generic_address,"Merkandi - Großhandel mit Restposten, Sonderposten, A-Ware, B-Ware, C-Ware, Insolvenzware, Retourware, Überproduktionen, Lagerüberhängen, Stocklot, Outlets,",2026-02-25T11:25:54.206Z
TSI,https://b2b.tsi.de/,uhre-mailb2b.sleh@tsi.degute,0162219339,,Voedsel Groothandel,Duitsland,58,30,10,10,8,Nee,20,dns_lookup_failed,"Mit Leidenschaft für Qualität ausgesucht: Im Lebensmittel- und Non-Food-Großhandel der METRO finden Großverbraucher und Gastronomen, was sie suchen!",2026-02-25T11:25:54.607Z
Großhandelslieferanten - Cash and Carry Deutschland,https://cashcarry.com.de/,info@cashcarry.com.de,01702 906 54,,Voedsel Groothandel,Duitsland,80,30,25,25,0,Ja,70,generic_address,"Cash Carry Germany ist ein führender B2B-Marktplatz, der Großhandelslieferanten mit Geschäften in Deutschland, UK, EU, UAE, USA und weiteren Ländern verbindet.",2026-02-25T11:25:55.818Z
Rittner Food Service,https://rittnerfoodservice.servicebund.de/,heiminfo@rittnerfoodservice.detelefon,089 1307 46-0,,Voedsel Groothandel,Duitsland,58,30,10,18,0,Nee,20,dns_lookup_failed,"Ihr Partner im Lebensmittelgroßhandel. Entdecken Sie unser Vollsortiment, unsere individuelle Beratung und maßgeschneiderten Lieferservice für Ihren Erfolg!",2026-02-25T11:26:00.227Z
MELEDI Gastronomie Großhandel,https://www.meledi.de/,,+49 3221 228851,,Voedsel Groothandel,Duitsland,87,30,18,25,14,Nee,0,no_email_found,Besuchen Sie MELEDI Gastronomie Großhandel für Top-Marken zum niedrigsten Preis.Sie kommen für den Preis. Sie bleiben wegen der Qualität.,2026-02-25T11:26:02.206Z
Deutsche Lebensmittel & Süssigkeiten,https://germanfoodcorner.de/,,07.707 1.707,,Voedsel Groothandel,Duitsland,88,30,25,25,8,Nee,0,no_email_found,German Food Corner - Ihr Online-Großhandel für deutsche Lebensmittel und Qualitäts-Marken. Wir sind Export-Spezialisten.,2026-02-25T11:26:03.432Z
GEHO Nahrungsmittel GmbH,https://www.geho-straelen.de/,shop@geho-straelen.de,0139033781,,Voedsel Groothandel,Duitsland,79,30,10,25,14,Ja,85,mx_verified,"GeHo Nahrungsmittel GmbH - Ihr Profi für Snacks, Süßwaren und Getränke! Alles für Ihren Großhandel, Ihren Warenautomaten oder Ihren Kiosk. 24/7 online bestellen! Schnelle Lieferung - Top Service - Ers",2026-02-25T11:26:08.189Z
Groothandel voor levensmiddelen,https://www.hefe-van-haag.de/nl/assortiment/levensmiddelen/,info@hefe-van-haag.de,+49151,,Voedsel Groothandel,Duitsland,54,12,18,10,14,Ja,70,generic_address,"""Ontdek onze groothandel in hoogwaardige levensmiddelen – van verse ingrediënten tot speciale producten. Groot assortiment. Hoge kwaliteit."" ",2026-02-25T11:26:08.618Z
Getu Gastro Großhandel GmbH,https://getugastro.de/,,08 4.51957 0.1,,Voedsel Groothandel,Duitsland,100,30,25,25,20,Nee,0,no_email_found,,2026-02-25T11:26:08.637Z
Verpakkingsmateriaal groothandel,https://webshop.viv.nl/,webshop@viv.nl,0318 550 333,,Verpakkingen,Nederland,73,30,10,25,8,Ja,85,mx_verified,"Voordelige en Betrouwbare Verpakkingsmateriaal Groothandel. Alles voor Verpakken en Verzenden. Dozen, Tape, folie en meer. Bekijk en Bestel Direct Online!",2026-02-25T11:26:13.062Z
Eggink verpakkingen,https://www.eggink-verpakkingen.nl/,,0543 51 33 65,,Verpakkingen,Nederland,74,30,18,18,8,Nee,0,no_email_found,Verpakkingsmateriaal bestel je eenvoudig in onze webshop of in een van onze showrooms. ✓Grootste assortiment ✓Snelle levering ✓Persoonlijk advies,2026-02-25T11:26:13.253Z
"Baas Verpakkingen, dé vertrouwde verpakkingsmateriaal groothandel",https://baasverpakkingen.nl/,,0480161026,,Verpakkingen,Nederland,79,30,10,25,14,Nee,0,no_email_found,"Baas Verpakkingen is uw vertrouwde groothandel in verpakkingsmaterialen, facilitaire producten, disposables en kantoorartikelen. ",2026-02-25T11:26:13.343Z
Verpakkingsmateriaal groothandel,https://www.retif.nl/c-1721-verpakking/,webshop.nl@retif.eu,0023000000,,Verpakkingen,Nederland,94,30,25,25,14,Ja,85,mx_verified,"Op zoek naar verpakkingsmateriaal voor handel? Je bent op de juist plaats! Ontdek ons aanbod geschenkverpakking, verzendverpakking & voedselverpakking",2026-02-25T11:26:13.902Z
DeMoZa,https://demoza.nl/,info@demooistezakken.nl,0275196830,,Verpakkingen,Nederland,72,30,10,18,14,Ja,70,generic_address,"DeMoZa: dé verpakkingsgroothandel gespecialiseerd in polypropyleen en papieren zakjes. Uitgebreid assortiment bedrukte en transparante verpakkingen in diverse maten. Snelle levering uit voorraad, ook ",2026-02-25T11:26:14.795Z
verpakgigant.nl,https://verpakgigant.nl/,support@verpakgigant.nl,042404719,,Verpakkingen,Nederland,93,30,18,25,20,Ja,70,generic_address,Verpakgigant is de scherpste groothandel verpakkingsmateriaal. Met ons eigen merk InPack® leveren we topkwaliteit met de voordeligste prijzen,2026-02-25T11:26:14.952Z
VerpakkingShop.nl,https://www.verpakkingshop.nl/,,0161-217200,Brabo VerpakkingDakota 45126 RL GilzeTel: 0161-217217,Verpakkingen,Nederland,73,30,25,10,8,Nee,0,no_email_found,Voor het juiste verpakkingsmateriaal voor uw producten of verzendingen bezoekt u onze website. Wij leveren goed en goedkoop alles wat u nodig heeft!,2026-02-25T11:26:15.440Z
Kurage verpakkingen,https://kurage.nl/,sales@kurage.nl,0006 8465 25,,Verpakkingen,Nederland,93,30,25,18,20,Ja,70,generic_address,"Bestel verpakkingsmaterialen eenvoudig en snel bij Kurage Verpakkingen. Bekijk ons ruime assortiment, dozen, tape, etiketten en meer.",2026-02-25T11:26:15.570Z
Peijs,https://www.peijs.nl/nl_NL/,info@peijs.nl,,,Verpakkingen,Nederland,78,30,10,18,20,Ja,70,generic_address,,2026-02-25T11:26:15.581Z
Home,https://www.heuman.nl/,info@heuman.nl,,,Verpakkingen,Nederland,50,30,10,2,8,Ja,70,generic_address,Heuman BV is innovatief specialist in het maken en produceren van industriële houten verpakkingen op maat voor alle producten waar geen standaard verpakking voor bestaat,2026-02-25T11:26:20.277Z
Bangma Verpakking,https://bangmaverpakking.nl/industriele-verpakkingen/,sales@bangma.nl,0321 312 562,,Verpakkingen,Nederland,93,30,18,25,20,Ja,70,generic_address,"Industriële verpakkingen kopen? Ontdek sterke kartonnen verpakkingen op maat voor productie, opslag en transport. Bekijk het assortiment.",2026-02-25T11:26:21.039Z
www.exportpacking.nl,https://www.exportpacking.nl/,info@exportpacking.nl,068406489-,,Verpakkingen,Nederland,100,30,25,25,20,Ja,70,generic_address,"Wij verpakken en organiseren het transport van uw (industriële) goederen. Op maat gemaakt, in houten kist, op een transportbok, op een houten vloer gestuwd in containers. Ondersteunt u bij exportactiv",2026-02-25T11:26:21.095Z
Partner in industriële verpakkingen,https://www.seerden.nl/,info@seerden.nl,,,Verpakkingen,Nederland,62,30,10,2,20,Ja,70,generic_address,,2026-02-25T11:26:21.191Z
Fardem Packaging,https://www.fardem-packaging.nl/,sales@fardem-packaging.nl,+31 299 36 0000,,Verpakkingen,Nederland,62,12,18,18,14,Ja,70,generic_address,Een toonaangevende producent in heavy duty 25-50 kg packaging voor de business to business markt. Lees hier meer over Fardem Packaging.,2026-02-25T11:26:23.691Z
Dozenproducent,https://www.dozenproducent.nl/,,085 088 2100,A. Einsteinlaan 3 9615 TE Kolham 085 088 2100,Verpakkingen,Nederland,74,30,18,18,8,Nee,0,no_email_found,"Bestel duurzame kartonnen dozen op maat of uit voorraad. Snelle levering, eigen productie en bedrukkingsopties voor jouw bedrijf.",2026-02-25T11:26:27.623Z
123KartonnenDozen.nl,https://www.123kartonnendozen.nl/,,0 7521702 00,"Adres: Wittevrouwen 1, 1358CD Almere Telefoon: +31 (0)70 752 1702 Email: [email protected] Openingstijden: Ma - Do: 7:30 - 16:00 uur Vrij: 7:30 - 15:0",Verpakkingen,Nederland,81,30,18,25,8,Nee,0,no_email_found,TOP CATEGORIEËN Dozen op maat! Gratis verzending!Vanaf €349 euro (excl.) Kwaliteit voor de juiste prijs!Altijd de scherpste prijzen KlantenserviceDirect contact met een medewerker Dozen op maat 8 prod,2026-02-25T11:26:27.900Z
DoosOpMaat,https://www.doosopmaat.nl/groothandel-kartonnen-dozen,sales@doosopmaat.nl,,,Verpakkingen,Nederland,72,30,18,10,14,Ja,70,generic_address,"Bestel kartonnen dozen in grote aantallen. Groothandelsprijzen, duurzaam geproduceerd en gratis bezorgd. Al vanaf 1 stuk!",2026-02-25T11:26:28.732Z
Kartonnendozen.nl,https://www.kartonnendozen.nl/,info@kartonnendozen.nlmail,0528 235 236,,Verpakkingen,Nederland,73,30,18,25,0,Nee,20,dns_lookup_failed,Kartonnendozen.nl is de specialist als het draait om maatwerk dozen. Volledig op maat gemaakt om exact aan te sluiten op iedere verpakkingsbehoefte.,2026-02-25T11:26:29.241Z
Van de Velde Packaging Dozenhal,https://www.dozenhal.nl/?gad_source=1,info@dozenhal.nl,0341 562 688,,Verpakkingen,Nederland,94,30,25,25,14,Ja,70,generic_address,"Op zoek naar nieuwe of gebruikte kartonnen dozen? Zoek niet verder, de Dozenhal is de grootste leverancier in gebruikte kartonnen dozen van Nederland.",2026-02-25T11:26:31.631Z
Groothandel in verpakkingsmateriaal voor de voedingsindustrie,https://www.variapack.be/nl/voeding,webshop@variapack.com,+32 16 301 301,,Verpakkingen,België,58,30,10,18,0,Ja,85,mx_verified,Als groothandel hebben we al jarenlange ervaring in het verpakken van voeding en maaltijden. Food packaging is onze specialiteit. Contacteer ons!,2026-02-25T11:26:36.921Z
Profipack,https://www.profipack.be/,,0 6.6274-5.372,,Verpakkingen,België,81,30,25,18,8,Nee,0,no_email_found,"Verpakkingsmateriaal kopen: eenvoudig & voordelig online! Ontdek ons assortiment: verzenddozen, verhuisdekens, beschermmateriaal & meer!",2026-02-25T11:26:37.038Z
"Groothandel in verpakkingsmateriaal, tassen en dozen",https://nl.retif.be/c-948-verpakking/,,012345679,,Verpakkingen,België,94,30,25,25,14,Nee,0,no_email_found,Verpak je producten op een professionele en aantrekkelijke manier met onze winkelverpakking. Ideaal voor retail die op zoek is naar esthetische en functionele verpakkingsoplossingen.,2026-02-25T11:26:37.238Z
Verpakgigant.be,https://verpakgigant.be/,support@verpakgigant.be,024271499,,Verpakkingen,België,100,30,25,25,20,Ja,70,generic_address,Verpakgigant is de scherpste groothandel in verpakkingsmateriaal. Met ons eigen merk InPack® leveren we topkwaliteit met de voordeligste prijzen,2026-02-25T11:26:38.878Z
Recypack Webshop,https://recypack.be/nl-be/over-ons,,072347828,Recypack BVSchuman Rondpunt 2-4B-1040 BrusselBelgië03 / 711 32 38[email protected],Verpakkingen,België,58,30,18,2,8,Nee,0,no_email_found,Recypack is een verpakkingsgroothandel voor de b2b. ,2026-02-25T11:26:39.585Z
LESER Packaging & More,https://leser-verpakkingen.be/,,0 6.6274-5.372,,Verpakkingen,België,81,30,25,18,8,Nee,0,no_email_found,"Ontdek de verpakkingen van LESER die uw producten perfect presenteren. Onze verpakkingen combineren design, bescherming en duurzaamheid. Ontdek nu meer!",2026-02-25T11:26:39.721Z
Pero Pack,https://peropack.be/,info@peropack.be,03 232 2575,,Verpakkingen,België,93,30,18,25,20,Ja,70,generic_address,Zeer ruim gamma onbedrukte en bedrukte verpakkingen en draagtassen. Uitstekende materialen tegen groothandelsprijzen.,2026-02-25T11:26:40.357Z
Globius verpakkingsmateriaal: Industriële verpakkingsoplossingen en verpakkingsm,https://globius.be/,info@globius.be,0892.957.848,Westrozebekestraat 45 B-8980 Passendale Belgium,Verpakkingen,België,58,30,18,2,8,Ja,70,generic_address,Globius is uw partner in verpakkingsmateriaal. Bestel industriële verpakkingsmaterialen met ondersteuning van onze eigen technische dienst.,2026-02-25T11:26:46.050Z
Industriële verpakkingen op maat,https://www.bksi.be/nl/industriele-verpakkingen,commercial@bksi.be,0440.976.846,Bredabaan 173 2170 Merksem-Antwerp +32.(0)3.645.38.80 commercial@bksi.be,Verpakkingen,België,73,30,25,10,8,Ja,85,mx_verified,"BKSI ontwerpt en bouwt industriële verpakkingen op maat voor machines, productielijnen en kapitaalgoederen. Veilig, zorgzaam en volgens internationale normen.",2026-02-25T11:26:47.220Z
Devan Plastics,https://devan-plastics.be/,info@devan-plastics.be,093058936,,Verpakkingen,België,70,30,18,2,20,Ja,70,generic_address,,2026-02-25T11:26:47.726Z
Marisan,https://marisan.be/aanbod/verpakkingen/industriele-en-logistieke-verpakkingen/,info@marisan.be,041351353,Marisan +32 9 232 06 16 info@marisan.be Ambachtsweg 14 - 9820 Merelbeke (BE),Verpakkingen,België,72,30,18,10,14,Ja,70,generic_address,Marisan biedt industriële en logistieke verpakkingen voor maximale bescherming tijdens transport en opslag. Alle soorten kunststof verpakkingen beschikbaar.,2026-02-25T11:26:47.755Z
NNZ Belgium,https://www.nnz.be/,info@nnz.nl,0 113 503310,"De Poort 1, 4411 PB , Rilland, Nederland",Verpakkingen,België,85,30,25,10,20,Ja,70,generic_address,NNZ is een multinationaal bedrijf dat actief is in de markt van verpakkingsmaterialen voor agrarische en industriële producten.,2026-02-25T11:26:48.086Z
DoosOpMaat,https://www.doosopmaat.be/groothandel-kartonnen-dozen,sales@doosopmaat.be,,,Verpakkingen,België,58,30,18,10,0,Ja,70,generic_address,Groothandel kartonnen dozen op maat ✓ Snelle levertijd ✓ Gratis bezorgd ✓ Tot 75 euro korting ✓ Al vanaf 10 stuks,2026-02-25T11:26:52.942Z
Kartonnen dozen nodig?,https://packaging.bpost.be/nl/kartonnen-dozen,,0057 21.3665,,Verpakkingen,België,66,30,10,18,8,Nee,0,no_email_found,"Ontdek ons brede assortiment kartonnen dozen. Van klein tot groot, we hebben altijd een passende kartonnen doos. Bestel nu.",2026-02-25T11:26:53.190Z
Storopack webshop,https://www.storopack-shop.be/,sales@storopack.be,0800 90 567,,Verpakkingen,België,85,30,10,25,20,Ja,70,generic_address,"Ruim aanbod aan dozen, tape, folie, omsnoering en meer. Bestel de beste beschermende verpakkingen vlot via de online shop.",2026-02-25T11:26:53.191Z
